Grant Name,Funding Organization,Country/Region,Eligibility Criteria,Focus Areas,Grant Amount,Application Deadline,Duration,Website Link
"Application Deadline: Periodic calls, not rolling. Calls for proposals are launched under the ISF Thematic Facility work programmes (2021","European Commission (DG ECHO, in partnership with the Education and Culture Executive Agency) .","EU and worldwide. EU Aid Volunteers connected EU citizens with humanitarian assignments in third countries (e.g. deployments in Ukraine, Africa, Asia, etc.) . EU-based organizations would send volunteers to projects in countries outside the EU, often in partnership with local host organizations.",,"Humanitarian aid operations and disaster relief capacity building. Projects aimed to strengthen local capacity and resilience in vulnerable communities and improve humanitarian response, while offering EU volunteers opportunities to contribute on the ground . Typical activities included volunteer trainings, deployments to assist in disaster risk reduction, emergency preparedness, and recovery efforts in affected regions. Active Grants (as of June 2025) 67.	European Endowment for Democracy (EED) – Independent grant-making fund (Belgium/EU) 68.	GMF/Black Sea Trust – Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional) 69.	National Endowment for Democracy (NED) Grants – National Endowment for Democracy (USA) Expired / Inactive Grants (recently closed) Below are the verified and updated details for five grant programs aimed at Civil Society Organizations (CSOs) in Ukraine. Each entry includes funding source, eligibility, focus, financial info, application details, and current status. (Grants that have ended or been replaced are listed under Expired / Inactive Grants.) Erasmus+ Civil Society Cooperation (Active) ⸻ Expired / Inactive Grants (to be archived) The following programs (Grants 57–60) are no longer active or have been replaced by newer funding instruments. They are included here for reference, with notes on their status as of June 2025. European Instrument for Democracy and Human Rights (EIDHR) – Replaced by NDICI Global Europe Human Rights & Democracy programme Rights, Equality and Citizenship Programme (REC, 2014–2020) – Expired, merged into CERV programme Europe for Citizens Programme (2007–2013; 2014–2020) – Expired, merged into CERV programme Lifelong Learning Programme (LLP, 2007–2013) – Expired, replaced by Erasmus+ 46. Danish Neighbourhood Programme","EU Aid Volunteers projects were relatively smaller grants covering volunteer training, travel, insurance, and placement costs. (Exact figures varied, but the entire 2014–2020 initiative supported about 4,000 volunteer deployments across projects .) The EU generally financed most costs related to deployments, with minimal co-financing from participating organizations.","Periodic calls, not rolling. Calls for proposals are launched under the ISF Thematic Facility work programmes (2021–2024, 2025–2027, etc.). Each call has a specific deadline. For example, under the 2023–2025 work programme, a call on organised crime had a deadline of 12 March 2024, and a call on protection of public spaces closed on 4 April 2024 . Upcoming calls for 2025–2027 are expected – applicants should monitor the Funding & Tenders portal for announcement of deadlines (there is no continuous open application).",Projects funded by ISF typically last 1–2 years. Most calls set a maximum project duration of 24 months (extensions possible if justified) . This reflects the need for timely implementation of security measures.,Internal Security Fund – EC Home Affairs .
Application Deadline: N/A,,,,,,"N/A – program no longer active. During 2014–2020, calls for proposals were issued periodically (approximately annually) until the program’s end. No calls after 2020, as the initiative transitioned into the European Solidarity Corps.","Volunteer placements typically lasted from 1 month up to 18 months in the field, depending on project needs. Projects that received funding for deployments often ran for 1–2 years including preparation and follow-up.","(Archived) – EU Aid Volunteers (via European Commission). (Note: As of 2021, refer to the European Solidarity Corps for EU-supported humanitarian volunteering.)"
European Endowment for Democracy (EED),Independent grant-making fund (Belgium/EU),,,,,,,
Application deadline: None (rolling basis),,,,,,None (rolling basis) – proposals are accepted year-round; EED does not issue time-limited calls . Requests are reviewed continuously (“rolling basis”).,,Apply for Support – EED (democracyendowment.eu) . Applications can be submitted through the EED online system at any time.
GMF/Black Sea Trust,Fostering Resilience of Ukrainian Civil Society and Independent Media – German Marshall Fund (USA) via BST (Regional),,,,,,,
Application deadline: Rolling,,,,,,"Rolling – continuous intake. Proposals are reviewed and approved twice monthly, with deadlines on the 15th and 30th of each month . (Applicants can submit any time; submissions by each mid-month or month-end are considered in the next cycle).",,GMF – Resilience of Ukrainian CSOs & Media (BST Call) . Official call announcement and application forms (in English and Ukrainian) are available on GMF’s site.
Last Verified: 08 Jun 2025.,,,,,,,,
National Endowment for Democracy (NED) Grants,National Endowment for Democracy (USA),,,,,,,
"Application deadline: Multiple cycles per year. NED has several proposal submission deadlines annually. Proposals are accepted in cycles (approximately quarterly) . For example, in 2024",,,,,,"Multiple cycles per year. NED has several proposal submission deadlines annually. Proposals are accepted in cycles (approximately quarterly) . For example, in 2024–25 the deadlines fell on September 3, 2024; January 28, 2025; and May 20, 2025   (with decisions made at the subsequent NED Board meetings). Future 2025 deadlines are expected (e.g. likely fall 2025). Late submissions roll into the next cycle .",,"NED – Apply for a Grant (ned.org)  . Applications are submitted via NED’s online portal or by email, using the official NED proposal and budget forms . Detailed guidelines and templates are available on the NED website."
Contact: EurasiaProposals@ned.org,,,,,,,,
